candidate_alpha,candidate_w_load_0,candidate_w_load_1,candidate_w_load_2,candidate_threshold_0,candidate_threshold_1,candidate_threshold_2
0.45,0.9,0.5,0.5,70.0,95.0,90.0
0.15,0.4,0.1,0.6,95.0,70.0,30.0
0.95,0.7,0.2,0.1,35.0,20.0,40.0
0.45,0.3,0.3,0.3,95.0,30.0,75.0
0.05,0.6,0.5,0.8,60.0,65.0,25.0
0.25,0.5,0.3,0.7,80.0,65.0,35.0
0.45,0.4,0.7,0.3,60.0,70.0,30.0
0.25,0.6,0.9,0.4,75.0,65.0,20.0
0.45,0.9,0.4,0.3,85.0,75.0,90.0
0.05,0.1,0.7,0.4,65.0,80.0,35.0
0.05,0.3,0.8,0.4,75.0,50.0,20.0
0.4,0.9,0.7,0.3,30.0,30.0,40.0
0.6,0.8,0.6,0.3,20.0,40.0,20.0
0.55,0.6,0.7,0.2,50.0,35.0,25.0
0.4,0.2,0.6,0.1,30.0,40.0,75.0
0.3,0.9,0.8,0.9,85.0,75.0,50.0
0.7,0.9,0.9,0.7,50.0,75.0,55.0
0.05,0.8,0.4,0.1,20.0,25.0,95.0
0.5,0.2,0.2,0.5,20.0,20.0,45.0
0.5,0.7,0.3,0.6,95.0,70.0,95.0
0.55,0.6,0.8,0.9,90.0,90.0,40.0
0.15,0.9,0.1,0.6,35.0,95.0,20.0
0.15,0.5,0.9,0.3,75.0,90.0,35.0
0.35,0.8,0.7,0.3,60.0,95.0,55.0
0.35,0.3,0.5,0.1,60.0,95.0,55.0
0.7,0.5,0.8,0.7,60.0,55.0,50.0
0.3,0.2,0.3,0.9,55.0,30.0,55.0
0.65,0.1,0.9,0.4,20.0,80.0,55.0
0.55,0.3,0.7,0.6,20.0,95.0,65.0
0.05,0.5,0.7,0.5,35.0,40.0,30.0
0.6,0.7,0.4,0.4,55.0,30.0,55.0
0.75,0.3,0.5,0.4,20.0,20.0,50.0
0.35,0.1,0.6,0.5,50.0,85.0,25.0
0.55,0.7,0.5,0.8,85.0,70.0,50.0
0.85,0.6,0.8,0.2,95.0,85.0,35.0
0.95,0.4,0.2,0.9,80.0,60.0,75.0
0.7,0.1,0.8,0.5,20.0,65.0,95.0
0.85,0.9,0.2,0.3,95.0,95.0,45.0
0.8,0.5,0.7,0.4,95.0,30.0,60.0
0.05,0.8,0.7,0.9,20.0,40.0,35.0
0.6,0.3,0.9,0.5,30.0,45.0,65.0
0.9,0.8,0.8,0.2,50.0,45.0,25.0
0.6,0.9,0.5,0.4,40.0,35.0,90.0
0.95,0.9,0.1,0.7,95.0,40.0,75.0
0.1,0.3,0.1,0.5,25.0,40.0,95.0
0.9,0.9,0.2,0.8,55.0,95.0,30.0
0.5,0.9,0.4,0.8,85.0,95.0,20.0
0.2,0.9,0.9,0.7,20.0,90.0,85.0
