iteration,fraction,subset_seed,failure_pct,service_s,completed,failed,simulation_file,simulation_seed,lambda_value,r_max,w_failure,w_service,catalogue_count,full_count,catalogue_hash,reconfigs,total_churn,max_churn,violations,planning_ms,planning_median_ms,planning_max_ms,decision_file
1,0.25,1,29.27968764318536,0.6041041423006388,864338.0,357854.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite1-25%-seed1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260829,0.2,0.15,0.5,0.5,634,2536,cada65f843c72876372efe55c04a29abb4f2cef35ef1f3c9b97445cc6e8a0432,0,0.0,0.0,0,81.90398030539222,69.68391700138454,191.56324999858043,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_quarter_s1/ite1/decisions/catalogue_634_seed_1/decision_logs/scope/scope_iteration1_seed20260829_n1800_iteration_1.csv
1,0.25,2,29.27968764318536,0.6041041423006388,864338.0,357854.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite1-25%-seed2/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260829,0.2,0.15,0.5,0.5,634,2536,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,0,0.0,0.0,0,77.70918862710676,68.91212499976973,187.03129200002877,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_quarter_s2/ite1/decisions/catalogue_634_seed_2/decision_logs/scope/scope_iteration1_seed20260829_n1800_iteration_1.csv
1,0.5,1,15.236577211411477,0.6002315818976643,1035926.0,186212.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite1-50%-seed1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260829,0.2,0.15,0.5,0.5,1268,2536,4d6ae1044836e8ace71733dab6d9ff603597c1ec365218e6706754941b17bbe8,1,0.14444444444444446,0.14444444444444446,0,348.5116560848344,103.9239159981662,2883.4961669999757,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_half_s1/ite1/decisions/catalogue_1268_seed_1/decision_logs/scope/scope_iteration1_seed20260829_n1800_iteration_1.csv
1,0.5,2,15.236577211411477,0.6002315818976643,1035926.0,186212.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite1-50%-seed2/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260829,0.2,0.15,0.5,0.5,1268,2536,42292b477d8b6699bef0393e0919ea2af17b4694dffe884984595015c26a3645,1,0.14444444444444446,0.14444444444444446,0,94.91626208490727,81.07329199992819,438.63033299930976,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_half_s2/ite1/decisions/catalogue_1268_seed_2/decision_logs/scope/scope_iteration1_seed20260829_n1800_iteration_1.csv
1,1.0,1,15.009818842358486,0.6040011371887443,1038699.0,183441.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite1-100%-seed1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260829,0.2,0.15,0.5,0.5,2536,2536,dc9854df21f0eb6b224efe7320ac4c784bec317d3f73dfd4e563299bdf20ea6e,1,0.14444444444444443,0.14444444444444443,0,337.9852725425365,291.3581669999985,1419.246875000681,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_full_s1/ite1/decisions/catalogue_2536_seed_1/decision_logs/scope/scope_iteration1_seed20260829_n1800_iteration_1.csv
2,0.25,1,29.125932045853556,0.612291476155774,857842.0,352533.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite2-25%-seed1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260830,0.2,0.15,0.5,0.5,634,2536,cada65f843c72876372efe55c04a29abb4f2cef35ef1f3c9b97445cc6e8a0432,0,0.0,0.0,0,122.4076844401849,77.97170800040476,378.2882499945117,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_quarter_s1/ite2/decisions/catalogue_634_seed_1/decision_logs/scope/scope_iteration2_seed20260830_n1800_iteration_2.csv
2,0.25,2,29.125932045853556,0.612291476155774,857842.0,352533.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite2-25%-seed2/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260830,0.2,0.15,0.5,0.5,634,2536,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,0,0.0,0.0,0,235.818725965485,84.78566700068768,972.583583999949,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_quarter_s2/ite2/decisions/catalogue_634_seed_2/decision_logs/scope/scope_iteration2_seed20260830_n1800_iteration_2.csv
2,0.5,1,14.91835136180212,0.607436304003051,1029750.0,180558.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite2-50%-seed1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260830,0.2,0.15,0.5,0.5,1268,2536,4d6ae1044836e8ace71733dab6d9ff603597c1ec365218e6706754941b17bbe8,1,0.14444444444444446,0.14444444444444446,0,142.47208120379304,94.88504200271564,497.3971250001341,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_half_s1/ite2/decisions/catalogue_1268_seed_1/decision_logs/scope/scope_iteration2_seed20260830_n1800_iteration_2.csv
2,0.5,2,14.91835136180212,0.607436304003051,1029750.0,180558.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite2-50%-seed2/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260830,0.2,0.15,0.5,0.5,1268,2536,42292b477d8b6699bef0393e0919ea2af17b4694dffe884984595015c26a3645,1,0.14444444444444446,0.14444444444444446,0,187.59074435575266,104.34158400312299,805.9769160026917,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_half_s2/ite2/decisions/catalogue_1268_seed_2/decision_logs/scope/scope_iteration2_seed20260830_n1800_iteration_2.csv
2,1.0,1,14.91835136180212,0.607436304003051,1029750.0,180558.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite2-100%-seed1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260830,0.2,0.15,0.5,0.5,2536,2536,dc9854df21f0eb6b224efe7320ac4c784bec317d3f73dfd4e563299bdf20ea6e,1,0.14444444444444446,0.14444444444444446,0,271.952411762421,256.0319999975036,1224.3938329993398,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_full_s1/ite2/decisions/catalogue_2536_seed_1/decision_logs/scope/scope_iteration2_seed20260830_n1800_iteration_2.csv
3,0.25,1,28.94770083774325,0.615037488673675,843729.0,343747.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite3-25%-seed1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260831,0.2,0.15,0.5,0.5,634,2536,cada65f843c72876372efe55c04a29abb4f2cef35ef1f3c9b97445cc6e8a0432,0,0.0,0.0,0,167.64997518636184,73.32862500334159,1308.8457499979995,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_quarter_s1/ite3/decisions/catalogue_634_seed_1/decision_logs/scope/scope_iteration3_seed20260831_n1800_iteration_3.csv
3,0.25,2,28.94770083774325,0.615037488673675,843729.0,343747.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite3-25%-seed2/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260831,0.2,0.15,0.5,0.5,634,2536,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,0,0.0,0.0,0,142.02577530387177,68.3950829989044,689.0914159957902,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_quarter_s2/ite3/decisions/catalogue_634_seed_2/decision_logs/scope/scope_iteration3_seed20260831_n1800_iteration_3.csv
3,0.5,1,14.572097163032778,0.6106280649801866,1014517.0,173054.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite3-50%-seeed1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260831,0.2,0.15,0.5,0.5,1268,2536,4d6ae1044836e8ace71733dab6d9ff603597c1ec365218e6706754941b17bbe8,1,0.14444444444444446,0.14444444444444446,0,152.20142023783905,101.08466699603014,428.2269579998683,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_half_s1/ite3/decisions/catalogue_1268_seed_1/decision_logs/scope/scope_iteration3_seed20260831_n1800_iteration_3.csv
3,0.5,2,14.572097163032778,0.6106280649801866,1014517.0,173054.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite3-50%-seed2/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260831,0.2,0.15,0.5,0.5,1268,2536,42292b477d8b6699bef0393e0919ea2af17b4694dffe884984595015c26a3645,1,0.14444444444444446,0.14444444444444446,0,143.249090356699,88.96100000129081,564.161125003011,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_half_s2/ite3/decisions/catalogue_1268_seed_2/decision_logs/scope/scope_iteration3_seed20260831_n1800_iteration_3.csv
3,1.0,1,14.572097163032778,0.6106280649801866,1014517.0,173054.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite3-100%-seed1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260831,0.2,0.15,0.5,0.5,2536,2536,dc9854df21f0eb6b224efe7320ac4c784bec317d3f73dfd4e563299bdf20ea6e,1,0.14444444444444446,0.14444444444444446,0,255.54600074592292,151.63304100133246,1524.4274169963319,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_full_s1/ite3/decisions/catalogue_2536_seed_1/decision_logs/scope/scope_iteration3_seed20260831_n1800_iteration_3.csv
4,0.25,1,27.77948762352683,0.6184355462090101,842414.0,324033.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite4-25%-seed1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260832,0.2,0.15,0.5,0.5,634,2536,cada65f843c72876372efe55c04a29abb4f2cef35ef1f3c9b97445cc6e8a0432,0,0.0,0.0,0,199.09727613560528,133.43729200278176,855.0094160018489,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_quarter_s1/ite4/decisions/catalogue_634_seed_1/decision_logs/scope/scope_iteration4_seed20260832_n1800_iteration_4.csv
4,0.25,2,27.77948762352683,0.6184355462090101,842414.0,324033.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite4-25%-seed2/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260832,0.2,0.15,0.5,0.5,634,2536,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,0,0.0,0.0,0,233.88553671136802,101.76591599883977,2000.2364169995417,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_quarter_s2/ite4/decisions/catalogue_634_seed_2/decision_logs/scope/scope_iteration4_seed20260832_n1800_iteration_4.csv
4,0.5,1,13.205193602729684,0.5986112676082331,1012405.0,154030.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite4-50%-seed1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260832,0.2,0.15,0.5,0.5,1268,2536,4d6ae1044836e8ace71733dab6d9ff603597c1ec365218e6706754941b17bbe8,1,0.14444444444444446,0.14444444444444446,0,157.15966952564608,84.30454100016505,802.765583001019,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_half_s1/ite4/decisions/catalogue_1268_seed_1/decision_logs/scope/scope_iteration4_seed20260832_n1800_iteration_4.csv
4,0.5,2,13.205193602729684,0.5986112676082331,1012405.0,154030.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite4-50%-seed2/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260832,0.2,0.15,0.5,0.5,1268,2536,42292b477d8b6699bef0393e0919ea2af17b4694dffe884984595015c26a3645,1,0.14444444444444446,0.14444444444444446,0,215.628144780166,164.57941599946935,1925.9533340009511,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_half_s2/ite4/decisions/catalogue_1268_seed_2/decision_logs/scope/scope_iteration4_seed20260832_n1800_iteration_4.csv
4,1.0,1,13.205193602729684,0.5986112676082331,1012405.0,154030.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite4-100%-seed1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260832,0.2,0.15,0.5,0.5,2536,2536,dc9854df21f0eb6b224efe7320ac4c784bec317d3f73dfd4e563299bdf20ea6e,1,0.14444444444444446,0.14444444444444446,0,318.57153594923517,296.0220000022673,1188.2602909972775,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_full_s1/ite4/decisions/catalogue_2536_seed_1/decision_logs/scope/scope_iteration4_seed20260832_n1800_iteration_4.csv
5,0.25,1,28.406315213300946,0.6230064264524044,837102.0,332138.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite5-25%-seed1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260833,0.2,0.15,0.5,0.5,634,2536,cada65f843c72876372efe55c04a29abb4f2cef35ef1f3c9b97445cc6e8a0432,0,0.0,0.0,0,126.6588792888057,88.6313329974655,581.3317499996629,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_quarter_s1/ite5/decisions/catalogue_634_seed_1/decision_logs/scope/scope_iteration5_seed20260833_n1800_iteration_5.csv
5,0.25,2,28.406315213300946,0.6230064264524044,837102.0,332138.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite5-25%-seed2/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260833,0.2,0.15,0.5,0.5,634,2536,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,0,0.0,0.0,0,81.85189405172054,69.20845899730921,382.771208001941,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_quarter_s2/ite5/decisions/catalogue_634_seed_2/decision_logs/scope/scope_iteration5_seed20260833_n1800_iteration_5.csv
5,0.5,1,13.792372047833354,0.60856864898181,1007962.0,161264.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite5-50%-seed1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260833,0.2,0.15,0.5,0.5,1268,2536,4d6ae1044836e8ace71733dab6d9ff603597c1ec365218e6706754941b17bbe8,1,0.14444444444444446,0.14444444444444446,0,126.0659421184416,86.95799999986775,679.569874999288,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_half_s1/ite5/decisions/catalogue_1268_seed_1/decision_logs/scope/scope_iteration5_seed20260833_n1800_iteration_5.csv
5,0.5,2,13.792372047833354,0.60856864898181,1007962.0,161264.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite5-50%-seed2/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260833,0.2,0.15,0.5,0.5,1268,2536,42292b477d8b6699bef0393e0919ea2af17b4694dffe884984595015c26a3645,1,0.14444444444444446,0.14444444444444446,0,80.57729450759372,76.09408400458051,162.36783300701063,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_half_s2/ite5/decisions/catalogue_1268_seed_2/decision_logs/scope/scope_iteration5_seed20260833_n1800_iteration_5.csv
5,1.0,1,13.792372047833354,0.60856864898181,1007962.0,161264.0,/Users/nancyboughannam/Documents/ThreeBrains/sim_results/ite5-100%-seed1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_1800DEVICES_ALL_APPS_GENERIC.log,20260833,0.2,0.15,0.5,0.5,2536,2536,dc9854df21f0eb6b224efe7320ac4c784bec317d3f73dfd4e563299bdf20ea6e,1,0.14444444444444446,0.14444444444444446,0,574.0840275256679,428.50895800074795,3055.7518330024322,/Users/nancyboughannam/PycharmProjects/FLaskAPIs/catalogue_runs/pilot_full_s1/ite5/decisions/catalogue_2536_seed_1/decision_logs/scope/scope_iteration5_seed20260833_n1800_iteration_5.csv
