iteration,vehicles,app,baseline,metric,scope_value,baseline_value,baseline_minus_scope
1,100,ALL_APPS,EXP3_MC,failure_rate_pct,0.05278973442702834,0.05278973442702834,0.0
2,100,ALL_APPS,EXP3_MC,failure_rate_pct,0.07289775732193651,0.07289775732193651,0.0
3,100,ALL_APPS,EXP3_MC,failure_rate_pct,0.07862451601418208,0.07862451601418208,0.0
4,100,ALL_APPS,EXP3_MC,failure_rate_pct,0.08094074526572999,0.08094074526572999,0.0
5,100,ALL_APPS,EXP3_MC,failure_rate_pct,0.07067851373182553,0.07067851373182553,0.0
6,100,ALL_APPS,EXP3_MC,failure_rate_pct,0.059099035208250224,0.059099035208250224,0.0
7,100,ALL_APPS,EXP3_MC,failure_rate_pct,0.07504403093651887,0.07504403093651887,0.0
8,100,ALL_APPS,EXP3_MC,failure_rate_pct,0.06903527220768378,0.06903527220768378,0.0
9,100,ALL_APPS,EXP3_MC,failure_rate_pct,0.08107644573335204,0.08107644573335204,0.0
10,100,ALL_APPS,EXP3_MC,failure_rate_pct,0.06392207594551404,0.06392207594551404,0.0
1,100,ALL_APPS,EXP3_MC,service_time_s,0.726015303672472,0.726015303672472,0.0
2,100,ALL_APPS,EXP3_MC,service_time_s,0.7533572064978128,0.7533572064978128,0.0
3,100,ALL_APPS,EXP3_MC,service_time_s,0.7978541797708841,0.7978541797708841,0.0
4,100,ALL_APPS,EXP3_MC,service_time_s,0.7783433127265426,0.7783433127265426,0.0
5,100,ALL_APPS,EXP3_MC,service_time_s,0.7681841473161413,0.7681841473161413,0.0
6,100,ALL_APPS,EXP3_MC,service_time_s,0.8337868638150535,0.8337868638150535,0.0
7,100,ALL_APPS,EXP3_MC,service_time_s,0.8073926622973672,0.8073926622973672,0.0
8,100,ALL_APPS,EXP3_MC,service_time_s,0.8841546414248842,0.8841546414248842,0.0
9,100,ALL_APPS,EXP3_MC,service_time_s,0.8182250585434448,0.8182250585434448,0.0
10,100,ALL_APPS,EXP3_MC,service_time_s,0.8230872625435415,0.8230872625435415,0.0
1,100,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.05278973442702834,0.05414331736105471,0.0013535829340263691
2,100,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.07289775732193651,0.07432712511256272,0.0014293677906262042
3,100,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.07862451601418208,0.07862451601418208,0.0
4,100,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.08094074526572999,0.0839951130116066,0.0030543677458766127
5,100,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.07067851373182553,0.07067851373182553,0.0
6,100,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.059099035208250224,0.059099035208250224,0.0
7,100,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.07504403093651887,0.07198100926564055,-0.0030630216708783242
8,100,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.06903527220768378,0.06742980076099346,-0.0016054714466903208
9,100,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.08107644573335204,0.0841947705692502,0.003118324835898162
10,100,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.06392207594551404,0.06392207594551404,0.0
1,100,ALL_APPS,RAIDER_TRAX,service_time_s,0.726015303672472,0.7259627801143889,-5.252355808316178e-05
2,100,ALL_APPS,RAIDER_TRAX,service_time_s,0.7533572064978128,0.7532831629133712,-7.404358444162984e-05
3,100,ALL_APPS,RAIDER_TRAX,service_time_s,0.7978541797708841,0.7978014935244505,-5.268624643361974e-05
4,100,ALL_APPS,RAIDER_TRAX,service_time_s,0.7783433127265426,0.7782750450991387,-6.826762740386183e-05
5,100,ALL_APPS,RAIDER_TRAX,service_time_s,0.7681841473161413,0.7681277989715346,-5.634834460666038e-05
6,100,ALL_APPS,RAIDER_TRAX,service_time_s,0.8337868638150535,0.833730804741237,-5.605907381656117e-05
7,100,ALL_APPS,RAIDER_TRAX,service_time_s,0.8073926622973672,0.8073311406558307,-6.152164153649942e-05
8,100,ALL_APPS,RAIDER_TRAX,service_time_s,0.8841546414248842,0.8840906065954296,-6.40348294546067e-05
9,100,ALL_APPS,RAIDER_TRAX,service_time_s,0.8182250585434448,0.8181973394597672,-2.7719083677602008e-05
10,100,ALL_APPS,RAIDER_TRAX,service_time_s,0.8230872625435415,0.8230542689394522,-3.2993604089259776e-05
1,100,ALL_APPS,RANDOM,failure_rate_pct,0.05278973442702834,0.029773988361077277,-0.023015746065951064
2,100,ALL_APPS,RANDOM,failure_rate_pct,0.07289775732193651,0.044303435659978276,-0.028594321661958237
3,100,ALL_APPS,RANDOM,failure_rate_pct,0.07862451601418208,0.05636309700385642,-0.022261419010325655
4,100,ALL_APPS,RANDOM,failure_rate_pct,0.08094074526572999,0.038170269940149014,-0.042770475325580974
5,100,ALL_APPS,RANDOM,failure_rate_pct,0.07067851373182553,0.037499639426543975,-0.033178874305281554
6,100,ALL_APPS,RANDOM,failure_rate_pct,0.059099035208250224,0.05022898507903679,-0.008870050129213436
7,100,ALL_APPS,RANDOM,failure_rate_pct,0.07504403093651887,0.0658468983048252,-0.00919713263169368
8,100,ALL_APPS,RANDOM,failure_rate_pct,0.06903527220768378,0.03692050853987415,-0.03211476366780963
9,100,ALL_APPS,RANDOM,failure_rate_pct,0.08107644573335204,0.05144594278587575,-0.029630502947476295
10,100,ALL_APPS,RANDOM,failure_rate_pct,0.06392207594551404,0.03804132809884659,-0.025880747846667447
1,100,ALL_APPS,RANDOM,service_time_s,0.726015303672472,0.3255372949231559,-0.4004780087493161
2,100,ALL_APPS,RANDOM,service_time_s,0.7533572064978128,0.34215196558785166,-0.41120524090996113
3,100,ALL_APPS,RANDOM,service_time_s,0.7978541797708841,0.36189259097783755,-0.4359615887930466
4,100,ALL_APPS,RANDOM,service_time_s,0.7783433127265426,0.35186208633972954,-0.426481226386813
5,100,ALL_APPS,RANDOM,service_time_s,0.7681841473161413,0.34713770230742474,-0.4210464450087165
6,100,ALL_APPS,RANDOM,service_time_s,0.8337868638150535,0.3754968996856111,-0.4582899641294424
