iteration,policy,vehicles,app,completed_tasks,failed_tasks,failure_rate_pct,service_time_s,source
1,RT_OPT_ML,100,ALL_APPS,73839.0,39.0,0.05278973442702834,0.726015303672472,ite1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_100DEVICES_ALL_APPS_GENERIC.log
2,RT_OPT_ML,100,ALL_APPS,69910.0,51.0,0.07289775732193651,0.7533572064978128,ite2/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_100DEVICES_ALL_APPS_GENERIC.log
3,RT_OPT_ML,100,ALL_APPS,67356.0,53.0,0.07862451601418208,0.7978541797708841,ite3/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_100DEVICES_ALL_APPS_GENERIC.log
4,RT_OPT_ML,100,ALL_APPS,65427.0,53.0,0.08094074526572999,0.7783433127265426,ite4/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_100DEVICES_ALL_APPS_GENERIC.log
5,RT_OPT_ML,100,ALL_APPS,69279.0,49.0,0.07067851373182553,0.7681841473161413,ite5/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_100DEVICES_ALL_APPS_GENERIC.log
6,RT_OPT_ML,100,ALL_APPS,67643.0,40.0,0.059099035208250224,0.8337868638150535,ite6/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_100DEVICES_ALL_APPS_GENERIC.log
7,RT_OPT_ML,100,ALL_APPS,65246.0,49.0,0.07504403093651887,0.8073926622973672,ite7/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_100DEVICES_ALL_APPS_GENERIC.log
8,RT_OPT_ML,100,ALL_APPS,62244.0,43.0,0.06903527220768378,0.8841546414248842,ite8/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_100DEVICES_ALL_APPS_GENERIC.log
9,RT_OPT_ML,100,ALL_APPS,64085.0,52.0,0.08107644573335204,0.8182250585434448,ite9/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_100DEVICES_ALL_APPS_GENERIC.log
10,RT_OPT_ML,100,ALL_APPS,65663.0,42.0,0.06392207594551404,0.8230872625435415,ite10/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_100DEVICES_ALL_APPS_GENERIC.log
1,EXP3_MC,100,ALL_APPS,73839.0,39.0,0.05278973442702834,0.726015303672472,ite1/SIMRESULT_ITS_SCENARIO_EXP3_MC_100DEVICES_ALL_APPS_GENERIC.log
2,EXP3_MC,100,ALL_APPS,69910.0,51.0,0.07289775732193651,0.7533572064978128,ite2/SIMRESULT_ITS_SCENARIO_EXP3_MC_100DEVICES_ALL_APPS_GENERIC.log
3,EXP3_MC,100,ALL_APPS,67356.0,53.0,0.07862451601418208,0.7978541797708841,ite3/SIMRESULT_ITS_SCENARIO_EXP3_MC_100DEVICES_ALL_APPS_GENERIC.log
4,EXP3_MC,100,ALL_APPS,65427.0,53.0,0.08094074526572999,0.7783433127265426,ite4/SIMRESULT_ITS_SCENARIO_EXP3_MC_100DEVICES_ALL_APPS_GENERIC.log
5,EXP3_MC,100,ALL_APPS,69279.0,49.0,0.07067851373182553,0.7681841473161413,ite5/SIMRESULT_ITS_SCENARIO_EXP3_MC_100DEVICES_ALL_APPS_GENERIC.log
